no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,lead_time,arrival_month,market_segment_type,repeated_guest,avg_price_per_room,no_of_special_requests,booking_status
0,3,0,4,1,0,70,4,1,0,9.0,1,0
2,0,2,2,1,0,9,12,1,0,88.4,2,0
3,0,0,4,1,0,74,7,1,0,137.7,3,0
2,0,2,2,1,0,71,6,0,0,80.75,1,0
2,0,0,3,1,0,62,9,1,0,109.8,1,0
2,0,0,1,0,0,42,10,1,0,109.0,2,0
2,0,2,2,1,0,114,5,1,0,75.27,0,0
2,0,1,1,1,0,71,11,4,0,0.0,1,0
1,0,0,2,1,0,25,3,1,0,85.0,1,0
1,0,2,0,1,0,11,1,1,0,67.4,0,0
1,0,1,2,1,0,118,6,0,0,110.0,0,0
2,0,1,5,0,0,6,8,1,0,80.0,1,0
2,0,2,3,1,1,15,10,1,0,142.6,1,0
2,0,0,3,1,0,40,10,0,0,75.0,0,0
1,1,0,3,1,0,130,5,1,0,194.85,0,0
2,0,0,3,1,0,17,3,0,0,80.0,0,0
3,0,1,1,1,0,48,10,1,0,158.0,1,0
2,0,2,3,1,0,198,8,0,0,72.25,0,0
2,0,2,2,0,0,96,12,1,0,57.6,1,0
2,1,2,3,1,0,68,2,0,0,58.0,1,0
2,0,2,1,1,0,282,10,0,0,76.67,0,0
2,0,0,2,2,0,80,10,0,0,136.0,0,0
2,0,0,1,1,0,21,3,0,0,64.8,0,0
2,0,2,1,1,0,59,5,0,0,85.5,0,0
1,0,0,3,1,0,19,10,0,1,80.0,0,0
2,0,0,1,1,0,1,12,2,1,65.0,1,0
2,0,1,2,2,0,162,9,0,0,85.17,1,0
2,0,2,1,1,0,41,10,1,0,145.2,2,0
2,0,2,1,0,0,17,3,1,0,84.33,2,0
1,0,0,3,1,0,13,3,2,1,80.0,0,0
2,0,2,7,1,0,24,4,0,0,107.0,0,0
1,0,1,1,1,0,3,8,0,0,75.0,0,0
2,0,1,2,1,0,154,2,0,0,62.0,1,0
2,0,0,2,0,1,0,8,1,0,80.0,1,0
1,0,0,3,1,0,7,5,0,0,112.0,0,0
2,0,0,2,0,0,0,8,1,0,148.0,0,0
1,0,1,3,1,0,5,4,3,0,95.0,0,0
2,0,0,1,2,0,29,12,1,0,144.0,0,0
1,0,1,3,1,0,10,9,3,1,110.0,0,0
1,0,1,1,1,0,19,11,1,0,6.0,0,0
2,0,2,3,1,0,41,11,0,0,60.0,1,0
1,0,1,0,1,0,3,12,1,0,70.0,0,0
2,0,1,2,1,0,40,10,1,0,94.5,2,0
2,0,2,1,1,1,14,12,1,0,111.67,0,0
2,0,2,4,1,0,167,8,0,0,72.25,0,0
2,0,2,4,0,0,11,11,1,0,96.41,1,0
2,0,0,1,1,0,48,3,1,0,80.3,1,0
2,1,0,2,1,0,146,6,1,0,130.0,2,0
1,0,0,3,1,0,31,1,1,0,73.9,0,0
2,0,1,2,1,0,13,6,1,0,149.33,1,0
2,0,0,3,1,1,119,8,1,0,76.5,2,0
2,0,0,2,2,0,74,9,0,0,101.5,0,0
3,0,2,1,1,0,46,11,1,0,128.6,2,0
2,0,1,2,1,0,207,12,0,0,161.67,0,0
2,0,1,0,1,0,23,6,1,0,94.35,0,0
1,0,1,0,1,0,12,9,0,0,85.0,1,0
2,0,0,3,1,0,37,12,1,0,104.0,1,0
3,0,2,3,1,0,6,1,1,0,130.0,2,0
1,0,1,2,1,0,0,3,2,1,65.0,1,0
2,0,0,2,1,0,12,12,1,0,148.0,0,0
1,0,0,1,1,0,7,12,2,0,65.0,0,0
2,0,0,2,0,0,46,10,1,0,119.5,2,0
1,0,1,0,1,0,3,1,2,1,66.0,0,0
2,0,0,1,0,0,38,9,1,0,76.23,1,0
2,0,0,1,0,0,0,10,1,0,120.0,0,0
2,0,0,3,1,0,86,9,2,0,100.0,0,0
2,0,2,1,1,0,47,11,0,0,60.0,0,0
2,0,1,3,0,0,58,10,1,0,90.68,2,0
2,0,0,2,1,0,100,7,1,0,123.3,1,0
2,0,1,1,0,0,80,3,1,0,53.97,1,0
2,0,2,3,1,0,44,3,1,0,80.26,1,0
2,0,0,1,1,0,4,12,4,1,0.0,1,0
2,0,0,1,2,0,55,4,0,0,104.0,0,0
2,0,0,3,1,0,146,12,0,0,85.0,0,0
2,0,0,1,1,0,15,11,1,0,105.0,1,0
1,0,0,3,1,0,13,6,2,1,65.0,1,0
2,1,1,3,1,0,71,11,1,0,68.07,2,0
2,0,1,3,1,0,119,4,0,0,71.0,1,0
2,0,2,4,1,0,46,3,1,0,77.35,1,0
2,0,2,5,1,0,6,6,1,0,144.57,2,0
1,0,0,2,2,0,346,9,0,0,90.0,0,0
2,0,1,3,0,0,52,12,1,0,74.8,2,0
2,0,0,2,1,0,35,5,0,0,95.0,0,0
2,0,1,1,0,0,5,3,1,0,68.53,1,0
2,0,0,1,1,0,40,10,1,0,96.3,0,0
1,0,2,2,1,0,3,9,1,0,6.0,0,0
2,0,1,4,1,1,0,3,1,0,114.0,0,0
2,0,0,3,1,0,37,10,0,0,105.0,0,0
2,0,0,3,1,0,90,4,0,0,81.62,0,0
2,0,2,4,0,0,31,11,1,0,74.8,2,0
2,0,0,3,1,0,2,12,1,0,66.99,1,0
2,0,0,1,1,0,43,10,0,0,85.5,1,0
2,0,0,3,1,0,148,6,0,0,88.12,0,0
2,0,1,3,1,0,127,4,0,0,90.0,0,0
1,0,0,1,1,0,0,1,0,0,64.0,0,0
1,0,0,2,2,0,39,8,1,0,0.0,0,0
2,0,1,3,1,0,85,5,1,0,119.85,1,0
1,0,1,2,1,0,0,9,1,0,96.27,1,0
2,0,0,2,1,0,29,12,2,0,85.0,1,0
2,0,2,3,1,0,40,3,1,0,83.9,1,0
1,0,0,2,1,0,32,11,0,0,73.0,0,0
2,0,1,0,1,0,39,12,1,0,74.88,1,0
2,0,2,2,0,0,88,4,1,0,72.25,0,0
1,0,2,1,2,0,122,3,0,0,86.0,0,0
2,0,0,0,2,0,78,11,1,0,0.0,2,0
2,0,2,4,1,0,13,12,1,0,89.39,0,0
1,0,0,0,1,0,2,9,1,0,0.0,0,0
3,0,0,2,1,0,116,7,1,0,137.7,1,0
1,0,0,3,1,0,174,9,0,0,95.67,0,0
1,1,0,1,1,0,5,9,0,0,60.0,1,0
2,0,1,2,1,0,31,12,0,0,63.0,1,0
2,0,0,1,0,0,3,8,1,0,139.0,1,0
2,0,2,1,1,0,101,11,1,0,90.0,2,0
3,0,1,4,1,0,14,9,1,0,153.38,1,0
2,2,0,2,1,0,12,9,1,0,155.0,1,0
2,0,2,4,0,0,2,2,1,0,80.67,0,0
2,2,1,2,1,0,4,2,1,0,85.03,1,0
1,0,0,1,0,0,2,3,0,0,92.0,0,0
2,0,0,1,1,0,207,10,1,0,108.9,3,0
2,0,2,2,1,0,33,11,1,0,97.4,1,0
2,0,1,2,1,0,81,3,0,0,65.0,0,0
2,0,0,4,1,0,36,5,1,0,126.9,1,0
3,0,2,1,1,0,54,10,1,0,146.92,2,0
2,1,0,2,1,0,69,7,0,0,76.08,0,0
2,0,1,3,1,0,79,4,1,0,125.38,0,0
2,0,1,2,1,0,28,3,0,0,87.0,1,0
2,2,1,1,1,0,3,3,1,0,181.0,0,0
2,0,0,2,2,0,0,8,0,0,109.0,0,0
2,0,1,1,1,1,0,5,1,0,145.85,0,0
2,0,1,1,1,0,79,4,0,0,90.95,1,0
1,0,1,4,0,0,67,9,1,0,104.76,1,0
2,0,2,1,1,0,10,9,0,0,95.0,0,0
3,0,2,2,1,0,92,5,1,0,150.45,2,0
1,0,0,1,0,0,2,10,1,0,134.0,1,0
2,0,0,4,1,0,104,10,1,0,91.48,1,0
2,0,2,4,1,0,22,9,1,0,159.0,2,0
2,0,0,1,2,0,55,4,0,0,104.0,0,0
2,0,0,1,0,0,1,8,1,0,138.0,1,0
1,0,0,1,1,0,1,11,0,0,65.0,1,0
2,0,1,4,1,0,259,12,1,0,131.43,2,0
2,0,0,4,0,0,98,5,1,0,109.65,2,0
3,0,3,7,1,0,205,12,1,0,117.64,0,0
2,1,2,0,1,0,16,12,1,0,118.8,1,0
2,0,2,1,2,0,23,1,0,0,109.0,0,0
2,0,1,0,1,0,0,12,1,0,83.16,1,0
2,0,0,3,1,0,65,2,0,0,60.0,0,0
1,0,1,1,2,0,301,7,0,0,90.0,0,0
1,0,1,2,1,0,6,7,0,0,75.0,0,0
1,0,2,2,1,0,54,10,0,0,66.5,0,0
2,0,2,5,1,0,90,11,1,0,72.25,2,0
1,0,2,1,1,0,4,2,2,1,68.0,0,0
1,0,1,1,2,0,301,7,0,0,90.0,0,0
3,0,1,0,1,0,36,4,1,0,150.3,0,0
1,0,0,1,1,0,5,12,1,0,111.0,0,0
1,0,1,3,1,0,118,6,0,0,110.0,0,0
1,0,2,4,1,0,63,9,0,0,118.43,0,0
2,0,1,3,1,0,4,12,1,0,122.48,1,0
2,0,2,3,1,0,189,7,1,0,99.45,1,0
1,0,0,1,0,0,1,7,1,0,99.0,1,0
1,0,1,1,0,0,7,10,1,0,114.0,1,0
1,0,0,3,2,0,13,4,0,0,73.0,0,0
2,0,0,2,1,0,13,2,4,0,0.0,2,0
2,0,0,1,0,0,10,7,1,0,99.0,1,0
2,0,2,1,0,0,57,10,1,0,78.69,1,0
2,0,1,2,1,0,14,9,1,0,145.67,2,0
2,0,2,4,1,0,35,9,1,0,166.58,2,0
2,0,0,3,1,0,30,10,1,0,96.3,5,0
3,0,1,0,1,0,119,9,1,0,162.0,1,0
2,0,2,0,0,1,37,2,1,0,78.5,1,0
2,0,2,0,0,1,21,9,1,0,98.0,2,0
2,1,2,2,1,0,16,12,0,0,92.85,0,0
3,0,1,2,1,0,45,11,1,0,126.0,1,0
2,2,0,3,1,0,29,3,1,0,77.5,2,0
2,0,2,3,1,0,40,12,1,0,64.15,0,0
2,0,0,1,1,0,13,6,1,0,146.0,1,0
2,0,0,1,0,0,0,6,1,0,109.0,0,0
2,0,1,0,1,1,168,5,1,0,132.3,3,0
2,2,0,1,1,0,54,5,1,0,198.9,2,0
2,0,2,1,1,0,194,7,1,0,76.85,1,0
2,0,1,4,1,0,4,12,1,0,125.0,1,0
2,0,0,1,0,0,37,10,0,0,76.5,1,0
2,0,1,3,1,0,59,11,1,0,88.4,1,0
1,0,0,1,1,0,0,12,0,1,65.0,2,0
2,0,0,2,0,0,24,8,1,0,139.0,2,0
2,2,1,3,1,0,0,3,1,0,165.0,0,0
2,0,2,3,1,0,45,4,1,0,108.79,0,0
2,0,0,1,1,0,0,6,1,0,73.07,0,0
2,0,0,4,1,0,24,12,1,0,68.07,0,0
2,0,0,3,1,0,133,5,1,0,105.3,0,0
2,0,2,3,1,0,4,4,1,0,103.18,1,0
2,0,1,2,1,0,80,4,0,0,80.75,0,0
1,0,2,5,1,0,26,12,1,0,88.4,3,0
2,0,2,3,0,0,200,12,0,0,51.0,0,0
1,1,2,1,0,0,6,4,0,0,71.2,1,0
1,0,0,1,1,0,28,11,1,0,130.0,2,0
1,0,1,0,1,0,1,10,1,0,150.0,2,0
1,0,0,1,1,0,0,10,1,0,129.0,0,0
2,0,2,1,1,0,117,3,0,0,55.0,0,0
2,0,2,2,1,0,62,11,1,0,81.9,1,0
2,2,0,1,1,0,5,4,1,0,167.0,1,0
2,0,0,3,1,0,27,10,0,0,85.0,0,0
2,0,0,3,1,0,1,9,1,0,152.0,2,0
3,0,0,3,1,0,42,3,1,0,83.61,1,0
2,0,0,2,0,0,4,9,1,0,96.0,1,0
2,0,1,5,1,0,126,4,1,0,88.68,1,0
3,0,0,4,1,0,48,8,1,0,168.3,1,0
2,0,0,2,2,0,74,9,0,0,109.0,0,0
2,0,1,0,1,0,8,12,1,0,114.0,2,0
2,0,2,1,1,0,18,8,0,0,132.8,0,0
2,0,0,3,2,0,119,7,0,0,97.75,1,0
2,0,1,1,1,0,50,5,0,0,85.5,0,0
1,0,0,2,1,0,1,10,0,0,100.0,0,0
2,0,1,3,1,0,245,12,1,0,145.8,1,0
1,0,1,0,1,0,3,12,1,0,62.37,0,0
2,0,0,4,1,0,92,12,0,0,60.0,0,0
2,0,0,1,1,0,1,9,1,0,106.2,1,0
2,0,2,6,1,0,9,1,1,0,61.5,0,0
2,0,0,3,1,0,37,10,1,0,96.3,1,0
2,0,1,0,1,0,263,9,0,0,67.0,0,0
2,0,1,2,1,0,54,6,1,0,111.11,1,0
2,0,0,2,1,0,160,8,1,0,76.5,1,0
1,0,1,2,0,0,3,10,1,0,133.0,1,0
1,0,0,1,1,0,4,5,1,0,137.0,1,0
2,0,0,2,1,0,65,9,1,0,149.4,1,0
2,0,1,4,1,0,148,12,0,0,67.0,0,0
2,0,2,3,2,0,46,3,0,0,103.0,0,0
2,0,0,2,1,0,0,9,1,0,164.0,1,0
2,2,1,2,1,0,1,10,1,0,211.76,1,0
2,0,0,2,2,0,102,10,0,0,109.0,0,0
2,0,0,5,1,0,140,12,0,0,70.0,0,0
2,0,1,0,1,1,51,5,1,0,135.9,0,0
1,0,0,2,1,0,39,11,1,0,90.9,2,0
2,2,0,4,1,0,10,8,1,0,153.0,1,0
2,0,0,2,2,0,74,9,0,0,101.5,0,0
2,0,2,0,0,0,75,4,1,0,99.0,0,0
2,0,1,1,1,0,47,9,1,0,86.4,1,0
2,0,0,1,0,0,119,11,1,0,161.1,1,0
2,0,1,2,1,0,1,6,0,0,75.0,1,0
2,0,1,1,1,0,20,12,1,0,208.0,1,0
3,0,0,3,1,1,106,8,1,0,159.3,2,0
2,0,1,0,0,0,137,4,1,0,94.5,0,0
1,0,1,1,0,0,62,11,1,0,143.2,0,0
2,0,0,2,1,1,84,8,1,0,126.9,1,0
2,0,0,1,0,0,31,11,1,0,88.0,2,0
3,0,2,2,1,0,100,8,1,0,150.3,1,0
2,0,1,3,1,0,213,10,1,0,99.71,2,0
2,0,1,0,1,0,24,3,0,0,70.0,0,0
1,0,2,3,1,0,62,11,1,0,155.52,1,0
2,0,0,1,0,0,1,9,1,0,159.0,1,0
2,0,2,5,1,0,41,2,0,0,66.29,0,0
2,0,0,1,1,0,1,9,1,0,169.0,1,0
2,0,0,3,1,0,44,2,0,0,75.0,0,0
2,0,1,4,1,0,118,12,1,0,110.8,2,0
3,0,2,0,1,0,47,12,0,0,98.1,2,0
2,0,0,1,1,0,53,8,1,0,168.3,1,0
2,0,0,2,0,0,5,9,1,0,124.5,3,0
1,0,0,1,1,0,1,7,1,0,112.42,1,0
3,0,1,2,1,0,229,12,1,0,110.7,0,0
2,2,1,1,1,1,3,8,1,0,162.0,0,0
1,1,2,1,2,0,23,1,0,0,102.0,0,0
1,0,0,1,1,0,2,1,2,0,66.0,0,0
2,1,0,3,1,0,70,12,1,0,156.6,2,0
3,0,2,3,1,0,97,7,1,0,141.3,2,0
2,0,1,3,1,0,25,9,1,0,90.98,1,0
3,0,1,3,1,0,49,10,1,0,158.4,0,0
1,0,0,1,1,0,1,3,2,0,65.0,0,0
2,0,0,2,1,0,0,8,4,0,0.0,0,0
2,0,0,3,0,0,6,9,1,0,108.99,1,0
2,0,1,2,1,0,3,8,1,0,126.67,2,0
2,0,2,1,1,0,282,11,0,0,77.0,0,0
1,0,2,1,1,0,40,3,2,1,65.0,0,0
1,0,3,5,1,0,10,5,2,0,110.0,0,0
2,0,0,4,1,0,125,12,1,0,72.25,2,0
1,0,1,2,0,0,3,12,1,0,79.5,0,0
1,0,1,2,0,0,7,10,1,0,103.18,3,0
2,0,1,2,1,0,117,10,0,0,90.95,0,0
3,0,2,1,1,0,37,10,1,0,158.4,1,0
2,0,2,5,1,0,196,8,0,0,72.25,0,0
2,0,0,1,1,0,26,10,1,0,130.0,1,0
2,0,0,3,2,0,13,9,0,0,123.67,2,0
2,0,1,2,0,0,43,3,1,0,116.1,0,0
2,0,2,1,1,0,277,11,1,0,60.29,4,0
1,0,1,1,1,0,3,2,2,1,66.0,0,0
2,0,0,3,0,0,15,4,0,0,85.0,0,0
2,0,0,4,1,0,35,11,1,0,88.4,1,0
2,0,0,1,0,0,28,9,1,0,110.0,0,0
2,0,1,0,1,0,5,11,1,0,88.8,0,0
2,0,0,1,1,0,0,10,1,0,126.0,0,0
2,0,0,4,1,0,84,4,1,0,105.4,1,0
1,0,0,2,1,0,164,10,0,0,100.0,0,0
2,0,1,0,0,0,180,11,1,0,54.75,2,0
2,0,0,1,1,0,92,11,0,0,90.0,0,0
2,0,0,3,1,0,3,9,1,0,218.72,1,0
2,0,1,2,1,0,29,11,0,0,63.0,0,0
3,0,1,2,1,0,40,7,1,0,174.3,1,0
2,0,0,1,0,0,13,6,1,0,119.0,1,0
2,0,2,0,0,0,0,10,1,0,130.0,0,0
2,0,2,4,1,0,90,10,1,0,89.25,0,0
2,0,2,1,1,0,145,1,0,0,65.0,0,0
2,1,0,5,1,0,139,8,1,0,130.5,1,0
2,0,2,5,1,0,88,7,1,0,127.8,1,0
2,0,0,4,1,0,58,11,0,0,60.0,0,0
2,0,0,1,2,0,83,9,0,0,112.2,0,0
1,0,2,3,1,0,269,12,0,0,70.0,0,0
2,0,1,2,1,0,14,10,0,0,98.67,1,0
3,0,2,2,1,0,54,5,1,0,150.45,1,0
2,1,0,1,1,0,3,11,0,0,77.6,0,0
1,0,2,5,1,0,7,11,1,0,144.86,1,0
2,0,1,2,1,0,110,7,1,0,114.3,1,0
2,0,1,2,1,0,9,6,1,0,141.0,3,0
2,0,1,2,0,0,121,6,1,0,116.1,0,0
2,1,2,0,1,0,91,8,1,0,134.1,0,0
2,0,2,1,1,0,40,11,0,0,60.0,0,0
2,0,0,1,0,0,0,8,1,0,129.0,0,0
1,0,0,2,1,0,14,10,0,0,100.0,0,0
2,0,0,1,1,0,56,9,0,0,85.5,0,0
2,0,2,4,1,0,93,5,1,0,132.6,1,0
2,0,1,4,1,0,76,5,1,0,132.6,2,0
2,0,2,6,1,0,2,11,1,0,92.54,2,0
1,0,2,1,1,1,3,3,2,1,67.0,0,0
1,0,1,1,1,0,4,8,0,0,80.0,0,0
1,0,1,2,1,0,253,9,1,0,2.0,0,0
2,0,0,4,2,0,294,9,0,0,58.5,0,0
1,0,0,1,1,0,0,1,2,0,65.0,0,0
2,0,2,2,1,0,65,7,1,0,125.1,1,0
2,0,0,3,1,0,87,6,1,0,97.71,0,0
1,0,0,1,1,1,2,1,4,0,0.0,0,0
2,0,1,0,0,0,18,9,1,0,89.0,0,0
2,0,0,3,1,0,58,11,0,0,75.0,0,0
1,0,2,3,1,0,61,11,1,0,155.52,3,0
2,0,0,2,1,0,16,9,1,0,105.0,2,0
2,0,2,2,1,0,2,5,0,0,81.75,0,0
2,0,0,3,1,0,26,11,1,0,118.07,1,0
2,0,0,2,1,0,1,12,2,0,108.0,0,0
2,0,2,0,0,0,47,5,1,0,116.1,0,0
2,0,2,2,1,0,57,12,1,0,88.4,1,0
2,0,0,3,1,0,95,12,0,0,60.0,0,0
1,0,0,1,1,0,2,5,3,0,95.0,0,0
1,0,0,1,1,0,4,2,2,0,81.0,0,0
2,0,0,1,1,1,21,5,1,0,165.0,1,0
3,0,1,1,1,0,33,1,2,0,95.0,0,0
2,1,2,3,1,0,4,6,1,0,168.5,2,0
1,0,0,1,1,0,1,5,1,0,135.0,1,0
1,0,0,2,1,0,14,9,1,0,110.5,1,0
1,0,1,0,1,0,24,9,1,0,108.0,1,0
2,0,0,5,1,0,236,8,2,0,89.0,0,0
2,0,2,1,1,0,274,7,1,0,96.5,1,0
2,0,2,1,1,0,8,5,1,0,132.6,2,0
2,0,2,1,1,0,86,4,1,0,96.3,1,0
2,2,0,2,1,0,7,5,1,0,296.0,2,0
2,0,0,5,0,0,6,3,1,0,88.92,0,0
2,0,0,1,0,1,7,8,1,0,137.0,2,0
2,0,0,2,1,0,141,9,1,0,163.8,1,0
2,0,2,3,1,0,68,4,0,0,90.95,0,0
2,0,1,2,1,0,57,6,0,0,90.67,1,0
2,0,0,1,0,0,2,6,1,0,109.0,1,0
2,0,2,2,1,0,23,6,1,0,133.5,1,0
2,1,1,3,1,0,27,3,1,0,145.28,2,0
1,0,0,1,1,0,2,3,2,0,65.0,0,0
2,0,2,3,1,0,95,3,1,0,73.95,1,0
2,0,0,1,0,0,163,10,1,0,80.1,2,0
1,0,0,1,1,1,2,4,2,1,119.0,1,0
2,0,2,5,1,0,118,9,0,0,99.28,0,0
1,0,0,3,1,0,37,10,0,0,95.0,0,0
1,0,0,1,1,0,0,2,4,1,0.0,2,0
1,0,0,1,1,0,14,10,0,0,100.0,0,0
2,0,0,2,1,0,68,9,0,0,65.0,0,0
1,0,0,2,1,0,32,11,0,0,73.0,0,0
2,0,1,3,1,0,40,11,0,0,60.0,0,0
2,0,0,1,1,0,1,11,1,0,111.0,0,0
2,0,2,5,0,0,13,11,1,0,59.33,1,0
2,0,2,2,1,0,4,8,1,0,151.0,1,0
2,1,2,2,1,0,51,12,0,0,68.0,1,0
2,0,0,2,1,0,68,9,0,0,65.0,0,0
2,0,2,1,0,0,67,12,1,0,95.4,2,0
1,0,1,0,1,0,54,10,2,0,65.0,0,0
2,0,2,1,1,0,101,8,1,0,109.83,2,0
2,0,0,1,0,0,37,12,1,0,69.53,1,0
2,0,1,2,1,0,4,12,1,0,90.33,0,0
2,0,2,1,1,0,6,8,1,0,163.33,2,0
1,0,0,2,1,0,7,6,2,1,104.0,0,0
2,0,0,1,1,0,28,1,1,0,89.0,1,0
2,0,1,1,1,0,47,10,1,0,101.72,1,0
2,0,0,3,1,0,105,10,0,0,75.0,0,0
2,0,2,3,1,0,33,9,0,0,57.92,1,0
2,0,0,4,1,0,4,10,1,0,128.01,1,0
2,0,2,1,0,0,0,12,1,0,91.67,0,0
1,0,2,0,2,0,386,10,0,0,90.0,1,0
2,0,0,1,1,0,19,9,1,0,124.0,2,0
2,0,1,2,2,0,98,5,0,0,105.0,0,0
2,1,0,2,1,0,5,12,1,0,190.0,2,0
1,0,0,1,1,0,1,4,2,1,65.0,1,0
2,0,1,2,0,0,19,9,1,0,139.0,3,0
2,0,0,5,1,0,140,12,0,0,70.0,0,0
2,0,1,1,0,0,197,8,1,0,85.5,1,0
1,0,1,0,1,0,5,5,4,1,0.0,1,0
2,0,1,1,1,0,5,8,1,0,174.0,2,0
2,0,0,4,0,0,179,10,1,0,80.1,1,0
2,0,2,4,1,1,132,7,1,0,105.37,1,0
2,0,1,1,1,0,72,4,1,0,96.3,1,0
2,0,2,3,1,0,131,6,1,0,105.74,1,0
1,0,1,2,1,0,253,9,1,0,2.0,0,0
2,0,0,2,2,0,39,8,0,0,101.5,0,0
2,0,0,2,2,0,102,10,0,0,109.0,0,0
2,0,2,2,1,0,133,5,1,0,99.66,2,0
2,0,2,2,1,0,10,2,0,0,85.0,0,0
1,0,2,0,1,0,5,7,2,1,65.0,0,0
2,0,0,3,1,0,101,5,1,0,126.9,1,0
2,0,0,4,1,0,120,4,1,0,94.86,0,0
2,0,0,3,1,0,25,1,0,0,40.67,0,0
2,0,0,3,1,0,17,10,1,0,82.08,0,0
3,0,0,2,1,0,127,12,1,0,90.0,3,0
1,0,0,2,0,0,18,9,1,0,149.0,2,0
2,0,0,3,1,0,74,3,1,0,89.3,1,0
2,0,0,5,1,0,41,10,1,0,139.5,2,0
2,0,0,1,0,0,20,10,0,0,85.0,0,0
2,0,2,2,1,0,117,10,1,0,104.4,2,0
2,0,1,2,1,0,130,6,1,0,96.3,0,0
2,0,1,0,1,0,3,7,1,0,131.0,0,0
2,1,1,3,1,0,56,3,0,0,103.28,1,0
2,0,1,3,1,0,140,10,1,0,118.8,1,0
3,0,0,4,1,0,72,12,1,0,119.0,2,0
2,0,0,4,1,0,178,10,1,0,90.9,2,0
2,0,0,2,0,0,5,8,1,0,129.0,1,0
2,0,1,0,1,0,9,9,4,0,0.0,2,0
1,0,0,2,1,0,85,9,2,0,90.0,0,0
1,1,2,5,2,0,80,12,1,0,88.29,1,0
1,0,0,1,1,0,0,11,2,1,65.0,0,0
1,1,1,3,1,0,83,8,1,0,167.1,1,0
2,0,2,4,0,0,116,7,1,0,96.0,1,0
2,0,2,4,1,0,81,9,1,0,89.25,0,0
2,0,0,2,1,0,11,1,1,0,89.0,1,0
2,0,0,3,1,0,41,10,1,0,98.67,2,0
2,0,2,5,1,0,41,4,1,0,87.09,1,0
2,0,0,2,1,0,315,12,0,0,52.0,0,0
1,0,0,1,1,1,7,11,2,1,67.0,1,0
1,0,0,3,1,0,71,6,0,0,120.0,0,0
2,0,2,2,1,0,165,7,1,0,99.45,1,0
2,0,2,2,1,0,204,10,1,0,98.44,1,0
2,0,0,2,1,0,88,12,4,0,0.0,0,0
2,0,0,1,1,0,9,12,2,0,75.0,1,0
2,0,1,2,1,0,28,5,1,0,144.8,1,0
2,0,2,1,1,0,2,10,2,0,123.0,0,0
2,0,0,3,0,0,28,5,1,0,96.02,1,0
2,0,1,2,1,0,186,4,0,0,80.0,0,0
3,0,1,2,1,0,23,5,1,0,143.99,1,0
2,0,2,3,1,0,25,11,0,0,65.0,0,0
1,0,1,1,2,0,301,7,0,0,90.0,0,0
2,1,0,1,1,0,6,9,1,0,187.0,2,0
2,0,0,3,1,0,28,11,1,0,130.0,2,0
1,0,0,4,2,0,296,9,0,0,96.0,0,0
2,0,1,1,1,0,159,4,0,0,70.0,1,0
2,0,0,3,0,0,76,4,1,0,94.5,1,0
2,0,0,2,0,0,12,10,1,0,140.0,1,0
2,0,2,1,1,0,120,8,1,0,76.5,2,0
1,0,0,1,1,0,0,1,1,0,73.9,0,0
2,0,2,3,1,0,28,9,1,0,116.56,2,0
2,0,0,4,1,0,98,3,1,0,73.95,0,0
2,0,0,1,0,0,0,8,1,0,73.81,0,0
2,0,1,3,0,0,72,4,1,0,61.21,1,0
2,0,4,6,1,0,33,3,1,0,64.46,1,0
2,1,2,1,1,0,7,4,1,0,133.83,2,0
2,0,0,2,1,0,28,9,1,0,159.0,1,0
2,0,0,4,1,0,101,4,1,0,93.08,1,0
2,0,0,2,1,0,59,12,1,0,93.6,2,0
2,0,0,3,1,0,49,11,0,0,75.0,0,0
2,0,0,3,1,0,22,10,1,0,127.0,1,0
1,0,1,0,1,0,12,5,1,0,125.0,1,0
2,0,0,3,1,0,21,10,1,0,126.0,2,0
2,0,1,3,1,0,89,4,1,0,90.95,1,0
1,0,0,1,1,0,6,11,2,0,109.65,0,0
2,0,2,5,1,0,15,12,1,0,88.4,0,0
2,0,2,2,1,0,67,11,0,0,75.0,0,0
1,0,1,2,1,0,0,9,1,0,148.67,0,0
2,1,0,2,1,0,133,7,1,0,121.5,0,0
2,0,1,0,0,0,1,8,1,0,98.0,0,0
1,0,0,2,1,0,192,6,0,0,95.0,0,0
2,0,2,2,2,0,48,10,1,0,173.7,2,0
2,0,0,3,1,0,79,7,4,0,37.33,1,0
2,0,1,2,1,0,309,5,0,0,65.0,0,0
2,0,2,2,1,0,226,10,0,0,70.0,1,0
2,0,2,4,1,0,25,9,1,0,118.15,1,0
2,0,0,2,2,0,80,10,0,0,136.0,0,0
2,0,0,1,1,0,16,9,1,0,105.0,2,0
3,0,2,0,1,0,49,8,1,0,168.3,2,0
2,0,1,2,1,0,39,10,1,0,74.88,1,0
2,0,2,2,1,0,226,10,0,0,70.0,1,0
2,0,4,6,1,0,207,8,0,0,72.25,0,0
2,0,0,3,1,0,25,9,1,0,107.03,1,0
2,0,2,1,1,0,100,5,1,0,105.3,1,0
2,0,2,0,0,0,3,6,1,0,113.0,2,0
2,0,1,2,1,0,8,9,0,0,126.0,2,0
2,0,0,2,2,0,102,10,0,0,109.0,0,0
2,0,0,2,2,0,56,9,0,0,82.0,0,0
1,0,0,1,1,0,1,9,1,0,188.0,0,0
2,0,1,1,0,1,220,8,1,0,99.0,1,0
